num_filters,kernel_size,dense_size,dropout_rate,l2_lambda,learning_rate,test_loss,test_accuracy
64,"(3, 3)",256,0,0,0.001,0.029355749,0.990400016
32,"(5, 5)",256,0.5,0,0.001,0.029766781,0.990199983
32,"(5, 5)",128,0.5,0,0.001,0.030213069,0.99000001
32,"(3, 3)",256,0,0,0.001,0.030845484,0.989899993
64,"(5, 5)",128,0.5,0,0.001,0.032207213,0.989499986
64,"(5, 5)",256,0.5,0,0.001,0.029976601,0.989099979
64,"(5, 5)",128,0,0,0.001,0.033719879,0.989000022
32,"(3, 3)",256,0.5,0,0.001,0.033839379,0.988300025
32,"(3, 3)",128,0,0,0.001,0.036331352,0.987399995
32,"(5, 5)",256,0.5,0,0.0001,0.044127386,0.987399995
32,"(5, 5)",128,0,0,0.001,0.039960358,0.987100005
64,"(3, 3)",128,0.5,0,0.001,0.037859622,0.986999989
64,"(3, 3)",256,0,0,0.0001,0.048335593,0.986299992
64,"(3, 3)",256,0.5,0,0.001,0.040681798,0.986199975
64,"(5, 5)",256,0,0,0.001,0.043685388,0.986100018
64,"(3, 3)",128,0,0,0.001,0.046943128,0.986000001
64,"(5, 5)",128,0,0,0.0001,0.04704513,0.985800028
64,"(5, 5)",256,0.5,0,0.0001,0.042591203,0.985499978
32,"(5, 5)",256,0.5,0.001,0.001,0.260338306,0.985400021
64,"(5, 5)",128,0.5,0,0.0001,0.050641354,0.985300004
64,"(3, 3)",256,0.5,0,0.0001,0.051599476,0.985199988
64,"(5, 5)",256,0,0.001,0.0001,0.137365147,0.985099971
64,"(5, 5)",128,0.5,0.001,0.0001,0.161190629,0.984899998
32,"(5, 5)",256,0,0,0.001,0.046915404,0.984499991
32,"(5, 5)",256,0,0,0.0001,0.050235726,0.984499991
64,"(5, 5)",256,0,0,0.0001,0.05343606,0.984000027
32,"(5, 5)",128,0,0.001,0.0001,0.159216568,0.983799994
64,"(5, 5)",256,0.5,0.001,0.0001,0.168436185,0.983799994
64,"(5, 5)",256,0,0.001,0.001,0.161581904,0.983500004
32,"(5, 5)",128,0.5,0.001,0.001,0.247146338,0.983399987
32,"(5, 5)",256,0,0.001,0.0001,0.157185033,0.983399987
32,"(5, 5)",256,0.5,0.001,0.0001,0.189906403,0.983099997
64,"(5, 5)",128,0.5,0.001,0.001,0.27418533,0.983099997
32,"(5, 5)",128,0.5,0,0.0001,0.056004316,0.98299998
32,"(3, 3)",128,0.5,0,0.001,0.04862152,0.982800007
32,"(5, 5)",128,0,0,0.0001,0.055335511,0.982800007
64,"(3, 3)",256,0,0.001,0.001,0.174187899,0.982599974
64,"(5, 5)",128,0,0.001,0.0001,0.149445787,0.981899977
32,"(5, 5)",256,0,0.001,0.001,0.165654346,0.981100023
32,"(5, 5)",128,0,0.001,0.001,0.160287663,0.980700016
32,"(3, 3)",256,0.5,0,0.0001,0.065591097,0.980499983
32,"(3, 3)",128,0,0,0.0001,0.065709993,0.980000019
32,"(5, 5)",128,0.5,0.001,0.0001,0.184217051,0.979499996
64,"(5, 5)",128,0,0.001,0.001,0.169033557,0.979499996
64,"(5, 5)",256,0.5,0.001,0.001,0.290401667,0.979499996
64,"(3, 3)",128,0.5,0,0.0001,0.071751423,0.979300022
32,"(3, 3)",256,0,0.001,0.0001,0.18155393,0.979200006
64,"(3, 3)",256,0.5,0.001,0.0001,0.205016717,0.979200006
32,"(3, 3)",256,0.5,0.001,0.001,0.316032439,0.978900015
64,"(3, 3)",128,0,0,0.0001,0.069495291,0.978699982
64,"(3, 3)",128,0,0.001,0.001,0.187094405,0.978699982
64,"(3, 3)",128,0.5,0.001,0.001,0.315917373,0.978699982
64,"(3, 3)",128,0,0.001,0.0001,0.172601297,0.978600025
64,"(3, 3)",128,0.5,0.001,0.0001,0.201916635,0.978299975
64,"(3, 3)",256,0,0.001,0.0001,0.17859453,0.977699995
64,"(3, 3)",256,0.5,0.001,0.001,0.336657673,0.977100015
32,"(3, 3)",256,0.5,0.001,0.0001,0.219212353,0.976800025
32,"(3, 3)",128,0.5,0,0.0001,0.079878218,0.976599991
32,"(3, 3)",256,0,0,0.0001,0.073781177,0.976599991
32,"(3, 3)",128,0.5,0.001,0.0001,0.217585891,0.974399984
32,"(3, 3)",128,0.5,0.001,0.001,0.300807923,0.973999977
32,"(3, 3)",128,0,0.001,0.0001,0.194687903,0.97390002
32,"(3, 3)",128,0,0.001,0.001,0.218484163,0.967299998
32,"(3, 3)",256,0,0.001,0.001,0.235580862,0.964699984
